prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.328
0,0,1,64,11.04
0,0,1,256,16.288
0,0,1,1024,15.265
0,0,2,16,11.616
0,0,2,64,11.871
0,0,2,256,15.936
0,0,2,1024,16.511
0,0,4,16,11.521
0,0,4,64,11.904
0,0,4,256,16.416
0,0,4,1024,17.471
0,0,8,16,11.648
0,0,8,64,12.255
0,0,8,256,16.382
0,0,8,1024,19.584
0,0,16,16,12.256
0,0,16,64,13.12
0,0,16,256,17.504
0,0,16,1024,26.496
0,0,32,16,12.863
0,0,32,64,14.016
0,0,32,256,17.889
0,0,32,1024,38.528
0,0,64,16,13.505
0,0,64,64,14.656
0,0,64,256,22.687
0,0,64,1024,61.505
0,0,128,16,17.984
0,0,128,64,19.711
0,0,128,256,38.815
0,0,128,1024,106.88
0,0,256,16,27.168
0,0,256,64,30.623
0,0,256,256,66.079
0,0,256,1024,205.6
0,0,512,16,47.839
0,0,512,64,53.856
0,0,512,256,123.935
0,0,512,1024,400.448
16,0,0,0,14.592
16,0,1,16,14.528
16,0,1,64,14.464
16,0,1,256,19.008
16,0,1,1024,20
16,0,2,16,14.464
16,0,2,64,14.88
16,0,2,256,18.752
16,0,2,1024,18.88
16,0,4,16,14.434
16,0,4,64,14.4
16,0,4,256,18.528
16,0,4,1024,19.966
16,0,8,16,14.559
16,0,8,64,14.4
16,0,8,256,18.59
16,0,8,1024,22.816
16,0,16,16,14.913
16,0,16,64,14.721
16,0,16,256,19.199
16,0,16,1024,29.984
16,0,32,16,15.264
16,0,32,64,15.744
16,0,32,256,20.255
16,0,32,1024,42.944
16,0,64,16,15.776
16,0,64,64,15.936
16,0,64,256,26.048
16,0,64,1024,63.871
16,0,128,16,20.896
16,0,128,64,23.872
16,0,128,256,41.055
16,0,128,1024,113.793
16,0,256,16,32.832
16,0,256,64,37.376
16,0,256,256,73.408
16,0,256,1024,208.319
16,16,0,0,14.816
16,16,1,16,14.881
16,16,1,64,14.624
16,16,1,256,18.72
16,16,1,1024,19.904
16,16,2,16,14.784
16,16,2,64,14.593
16,16,2,256,18.978
16,16,2,1024,19.872
16,16,4,16,14.848
16,16,4,64,14.816
16,16,4,256,18.528
16,16,4,1024,20.542
16,16,8,16,14.56
16,16,8,64,14.528
16,16,8,256,18.656
