layer,tokens,time_us
embedding,1,3.936
embedding,2,4.065
embedding,3,4.224
embedding,4,4.576
embedding,5,4.832
embedding,6,4.96
embedding,7,5.441
embedding,8,5.472
embedding,9,5.952
embedding,10,6.271
embedding,11,6.432
embedding,12,6.72
embedding,13,7.104
embedding,14,7.264
embedding,15,7.584
embedding,16,7.648
embedding,20,3.168
embedding,24,3.135
embedding,28,3.295
embedding,32,3.04
embedding,36,3.233
embedding,40,3.136
embedding,44,3.422
embedding,48,3.04
embedding,52,3.2
embedding,56,3.584
embedding,60,3.392
embedding,64,2.975
embedding,80,3.072
embedding,96,3.072
embedding,112,3.104
embedding,128,3.136
embedding,144,3.646
embedding,160,3.649
embedding,176,3.552
embedding,192,3.552
embedding,208,3.552
embedding,224,3.616
embedding,240,3.616
embedding,256,3.648
embedding,272,3.969
embedding,288,3.904
embedding,304,3.936
embedding,320,3.936
embedding,336,3.968
embedding,352,3.968
embedding,368,4.45
embedding,384,3.999
embedding,400,4.32
embedding,416,4.768
embedding,432,4.448
embedding,448,4.32
embedding,464,4.48
embedding,480,4.352
embedding,496,4.448
embedding,512,4.384
embedding,528,4.416
embedding,544,4.448
embedding,560,4.608
embedding,576,4.512
embedding,592,4.512
embedding,608,4.48
embedding,624,4.673
embedding,640,4.544
embedding,656,4.608
embedding,672,4.608
embedding,688,4.64
embedding,704,4.608
embedding,720,4.64
embedding,736,4.64
embedding,752,4.608
embedding,768,4.64
embedding,784,4.735
embedding,800,4.704
embedding,816,4.768
embedding,832,5.184
embedding,848,4.768
embedding,864,4.736
embedding,880,4.8
embedding,896,4.832
embedding,912,5.312
embedding,928,5.216
embedding,944,5.024
embedding,960,5.088
embedding,976,5.024
embedding,992,5.121
embedding,1008,5.088
embedding,1024,5.184
final_layernorm,1,1.968
final_layernorm,2,2.3195
final_layernorm,3,2.4155
final_layernorm,4,2.4965
final_layernorm,5,2.288
final_layernorm,6,2.336
final_layernorm,7,2.401
final_layernorm,8,2.352
final_layernorm,9,2.352
final_layernorm,10,2.336
final_layernorm,11,2.288
final_layernorm,12,4.607
final_layernorm,13,2.32
final_layernorm,14,2.4
final_layernorm,15,2.32
final_layernorm,16,2.416
final_layernorm,20,2.256
final_layernorm,24,2.432
final_layernorm,28,2.288
final_layernorm,32,2.3355
final_layernorm,36,3.647
final_layernorm,40,2.3845
final_layernorm,44,2.368
final_layernorm,48,2.4165
final_layernorm,52,2.4
final_layernorm,56,2.3685
final_layernorm,60,2.352
final_layernorm,64,2.4
final_layernorm,80,2.448
final_layernorm,96,2.432
final_layernorm,112,2.448
final_layernorm,128,2.416
final_layernorm,144,2.5765
final_layernorm,160,2.448
final_layernorm,176,2.512
final_layernorm,192,2.512
final_layernorm,208,2.528
final_layernorm,224,2.592
final_layernorm,240,2.672
final_layernorm,256,2.688
final_layernorm,272,3.136
final_layernorm,288,3.264
final_layernorm,304,3.1675
final_layernorm,320,3.2645
final_layernorm,336,3.2
final_layernorm,352,3.216
final_layernorm,368,3.2475
final_layernorm,384,3.232
final_layernorm,400,3.2955
final_layernorm,416,3.2965
final_layernorm,432,3.472
final_layernorm,448,3.312
final_layernorm,464,3.536
final_layernorm,480,3.472
final_layernorm,496,3.408
final_layernorm,512,3.392
final_layernorm,528,3.4715
final_layernorm,544,4.3355
final_layernorm,560,4.4005
final_layernorm,576,4.288
final_layernorm,592,4.4475
final_layernorm,608,4.448
final_layernorm,624,4.4165
final_layernorm,640,4.4485
final_layernorm,656,4.464
final_layernorm,672,4.592
final_layernorm,688,4.64
final_layernorm,704,4.576
final_layernorm,720,4.512
final_layernorm,736,4.592
final_layernorm,752,4.576
final_layernorm,768,4.64
final_layernorm,784,4.592
final_layernorm,800,5.104
final_layernorm,816,5.168
